sentence,highlight,category,subcategory,polarity
a blank response that didn't clarify the issue and in fact raised suspicion that there was a problem.,a blank response that didn't clarify the issue,JUDGEMENT,CAPACITY,NEG
a blank response that didn't clarify the issue and in fact raised suspicion that there was a problem.,raised suspicion,JUDGEMENT,VERACITY,NEG
Then a recent T.V. documentary proved that not only were infected animals sent for slaughter,sent for slaughter,JUDGEMENT,PROPRIETY,NEG
but that safety precautions were inadequate and BSE was being sent to shops across the country.,inadequate,JUDGEMENT,CAPACITY,NEG
"The government strenuously denied this, making matters worse, and as nobody knows the real situation or even if CJD can be caught from eating infected beef, many people would seem unwilling to take the risk.",strenuously denied this making matters worse,JUDGEMENT,VERACITY,NEG
The recent headlines made by small isolated numbers of deaths from CJD have not helped either.,have not helped either,APPRECIATION,REACTION,NEG
A shorter and easier to explain cause of the fall in beef sales that has been recorded is that increasing numbers of people are becoming vegetarian.,NONE,NONE,NONE,NONE
"Apart from the health fears mentioned above, and other long term complaints such as heart disease supposedly caused by fatty foods, people seem to have another reason:",NONE,NONE,NONE,NONE
"As people becoming more ""urbanised"" (i.e.they are living further away from the country)",more urbanised,JUDGEMENT,NORMALITY,NEG
they seem to have forgotten all about how we feed and that animals must die in huge numbers if we are to eat meat.,animals must die in huge numbers,JUDGEMENT,PROPRIETY,NEG
They seem to become increasingly fond and protective of all animals,increasingly fond and protective of all animals,JUDGEMENT,PROPRIETY,POS
and even practices which may save human lives such as animal drug-testing are protested against.,such as animal drug-testing are protested against.,JUDGEMENT,PROPRIETY,POS
"The politically correct ""loony"" lobby seem to have got their weight behind this movement and when this is coupled to the hysterical reaction over things such as the veal-crate fiasco last year",hysterical reaction,JUDGEMENT,NORMALITY,NEG
things get out of hand.,get out of hand,APPRECIATION,COMPOSITION,NEG
Scare-stories by the gutter press stir up public opinion and more and more people are so upset by what they see that they just stop eating meat altogether.,scare-stories by the gutter press stir up public opinion,JUDGEMENT,VERACITY,NEG
The effect that this will have on the agriculture industry could be huge.,the effect huge,APPRECIATION,WORTH,NONE
"Beef, along with dairy products, is one of the main types of agricultural produce.",NONE,NONE,NONE,NONE
"A decrease in beef sales in the short term means that minor consequences occur: shops make a little less money, slaughter-houses and farms slight trouble selling produce etc.",NONE,NONE,NONE,NONE
"If, however, the problem becomes long term then the only possible result is job losses on a vast scale with farms, slaughterhouses, wholesalers and butchers going out of business.",job losses on a vast scale / going out of business,APPRECIATION,REACTION,NEG
Increasing pressure from animal rights activists may lead people away from other meats in the same numbers causing a full scale collapse of British agriculture ,a full scale collapse,APPRECIATION,COMPOSITION,NEG
"and in a worst case scenario, Britain becoming almost entirely dependant on processed food and imports to survive.",almost entirely dependant on processed food and imports to survive,JUDGEMENT,CAPACITY,NEG
"With less money to fuel the country, tax rates may have to be raised, causing the ever present financial problems to increase.",ever present financial problems,JUDGEMENT,NORMALITY,NEG
"In short, if this attitude stops and the problem goes away or decreases, the effects will be mild.",mild,APPRECIATION,WORTH,POS
"Should the attitudes of the people involved in this persevere or get stronger however, then there could be some major problems ahead.",major problems,APPRECIATION,WORTH,NEG
"The main problem in the United Kingdom is BSE or as it is so-called ""Mad Cow Disease"".",NONE,NONE,NONE,NONE
It has been discovered that the disease can be transmitted to humans due to consumption of the infected beef.,NONE,NONE,NONE,NONE
Beef production is a fairly large business in the U.K and it was necessary to discover more about this relatively new disease.,NONE,NONE,NONE,NONE
"It was discovered that British farmers were to blame, due to their various industrial techniques.",were to blame,JUDGEMENT,PROPRIETY,NEG
"The disease originally, was carried by chickens.",NONE,NONE,NONE,NONE
"When the farmers killed the chickens for their meat, the remains (bone and organs) were processed to provide a cheep feeding product.",NONE,NONE,NONE,NONE
Unfortunately the disease carrying organs were not just fed back to chickens but to cows as well.,NONE,NONE,NONE,NONE
"The cows contracted the disease (in a slightly different form) and this was when ""BSE"" first came about.",NONE,NONE,NONE,NONE
"The correct thing to do, would have been to destroy the infected cows bringing an end to a potentially life-threatening situation.",life-threatening situation,APPRECIATION,REACTION,NEG
"However, the farmers had money involved and did not.",NONE,NONE,NONE,NONE
"When the infected cows were slaughtered for beef, their remains were processed and fed back to other cattle spreading the disease further.",NONE,NONE,NONE,NONE
"Unfortunately, unlike the chickens, the cattle were able to pass this disease on to humans in their beef.",NONE,NONE,NONE,NONE
"The same industrial techniques are still used today, and with the people in the UK becoming aware of the facts and more health concious, the sales in beef have decreased.",more health conscious,JUDGEMENT,PROPRIETY,POS
It is impossible to learn that you have contracted the disease for up to seven years.,NONE,NONE,NONE,NONE
"And so, some attitudes of the public are: ""Why should I stop eating beef if I could already have BSE?"".",Why should I stop eating beef if I could already have BSE,JUDGEMENT,TENACITY,NEG
Another public attitude is to ignore warnings as there have not been any victims.,ignore warnings,JUDGEMENT,TENACITY,NEG
But it seems that the most popular option is to be safe and quit beef entirely.,most popular,APPRECIATION,WORTH,POS
"It seems that more and more families have opted for chicken, pork or lamb as an alternative.",NONE,NONE,NONE,NONE
It could have devastating effects on the agricultural industry as well.,devastating effects,APPRECIATION,WORTH,NEG
"If there is a point where supply outweighs demand, farmers will produce less beef and make less money.",NONE,NONE,NONE,NONE
"It is therefore, conceivable to think that farmers will change from beef to an alternative product.",NONE,NONE,NONE,NONE
"Recently, the consumption of beef in the UK has fallen dramatically.",has fallen dramatically,APPRECIATION,REACTION,NEG
"This has caused many problems not only for beef farmers, but for the economy as a whole, since the exportation of beef brings welcome finances into Britain.",welcome finances,APPRECIATION,REACTION,POS
"The reason for beef consumption in the UK falling is because of ""Mad cow disease"" or BSE.",NONE,NONE,NONE,NONE
This is a disease which affects the cerebral cortex of the cows brain.,NONE,NONE,NONE,NONE
"It is therefore feared, due to poor knowledge in the scientific world, that there is a contractable human equivalent called Creutzfeld Jacobs disease or CJD.",poor knowledge in the scientific world,JUDGEMENT,CAPACITY,NEG
"This lack of knowledge has immediately made the public afraid, and are now turning to substitutes.",This lack of knowledge,JUDGEMENT,CAPACITY,NEG
"This fall in demand is in turn lowering prices, and farmer are in deep financial trouble.",deep financial trouble,APPRECIATION,REACTION,NEG
In figure 1. we can see the original price and quantity which is demanded is much greater than in figure 2. where a fall in demand has resulted in a price cut.,NONE,NONE,NONE,NONE
"If these falls in sales keep going, then it is possible to see many of these farmers going out of business and into unemployment.",going out of business and into unemployment,APPRECIATION,REACTION,NEG
For farmers this would be disasterous.,disasterous,APPRECIATION,REACTION,NEG
"These farmer have been farming beef all their lives, and know nothing else.",know nothing else,JUDGEMENT,CAPACITY,NEG
"If farmers live in marginal land areas, then the resulting population will become unskilled, and ageing.","unskilled, and ageing",JUDGEMENT,CAPACITY,NEG
"I personally believe that the agricultural industry will never collapse, due to the common agricultural policy (CAP), and price support by the government.",price support by the government,JUDGEMENT,CAPACITY,POS
"The government wants to be self-sufficient, and also keep unemployment as low as possible, so the government will start to buy up surpluses.",The government wants to be self-sufficient,JUDGEMENT,CAPACITY,POS
"In this situation, at price P, more is supplied, than demanded, but this intervention price means that the farmers can produce what they like, as they get to sell their surplus anyway.",NONE,NONE,NONE,NONE
All this will do for the agricultural industry is ensure farmers can predict their income for the next year.,ensure farmers can predict their income,APPRECIATION,WORTH,POS
"This is because once these ""price-support schemes"" are started, they are very difficult to take down again.",very difficult to take down again,JUDGEMENT,TENACITY,POS
"In conclusion, although this is a dangerous disease that may be contractable, the agricultural industry will not fall by as greater degree as anticipated.",will not fall by as greater degree as anticipated,JUDGEMENT,TENACITY,POS
There are various reasons why people in the UK may decide to stop eating beef.,NONE,NONE,NONE,NONE
"Firstly, it may be in response to the protests at ports trying to prevent calves being exported where they may be used as veal calves and put into veal crates, which are uncomfortable for the animal and have been banned for many years in the UK.",uncomfortable,APPRECIATION,REACTION,NEG
"Firstly, it may be in response to the protests at ports trying to prevent calves being exported where they may be used as veal calves and put into veal crates, which are uncomfortable for the animal and have been banned for many years in the UK.",have been banned,JUDGEMENT,PROPRIETY,POS
Scenes of calves in these crates or of protests (in which one protester has been killed) at the ports both on television or in newspapers may have persuaded people to either become vegetarian or at least stop eating beef.,NONE,NONE,NONE,NONE
The emergence of BSE among cattle (so called 'mad cow disease' because of the effects it has upon the animal) and the linked (or possibly linked) CJD (Kreutzfeld-Jacobs disease) have alarmed consumers so much so that many schools have banned beef from the menu.,have alarmed consumers so much,APPRECIATION,WORTH,POS
Despite the risk of contracting CJD which is minutely small and the fact that the number of cases per year has stayed roughly the same i.e. is not increasing,minutely small,APPRECIATION,WORTH,POS
"the media hype has blown the disease out of all proportion and people are now very wary of eating beef, resorting to other products instead such as lamb.",has blown the disease out of all proportion,JUDGEMENT,VERACITY,NEG
"the media hype has blown the disease out of all proportion and people are now very wary of eating beef, resorting to other products instead such as lamb.",very wary,JUDGEMENT,PROPRIETY,POS
"The effect on the agricultural industry, beef producers is catastrophic.",catastrophic,APPRECIATION,REACTION,NEG
Prices have already decreased as much as 20p per kilogram at auction which is a substantial loss when an average beef animal will weigh around 500 kg.,a substantial loss,APPRECIATION,WORTH,NEG
"Many farmers may go out of business due to this loss in profits, or may diversify into other products such as arable crops.",may go out of business,APPRECIATION,REACTION,NEG
"This may then bring the price of beef back up in the future, however, due to this the problems of arable overproduction will increase and storage costs for excess produce will also increase.",NONE,NONE,NONE,NONE
Prices may <?> in arable <?> as more farmers are <?> producing arable crops.,NONE,NONE,NONE,NONE
Thus the effects of people not eating beef will have a knock-out effect throughout large areas of the agricultural industry.,a knock-out effect,APPRECIATION,WORTH,NEG
Beef producers would find it increasingly hard to make profits as they would have to increase sales to keep revenue to what it was whilst also incurring the excess costs of food and other expenses such as bills.,increasingly hard,APPRECIATION,REACTION,NEG
"Labour may need to be made redundant, thus increasing unemployment and government benefit payments at the same time.",NONE,NONE,NONE,NONE
Thus we see that the effects on the agricultural industry would be widespread.,widespread,APPRECIATION,WORTH,NEG
"The public, throughout the UK, reads the newspaper every day.",NONE,NONE,NONE,NONE
"In 1994 a cluster of cases of streptercoccus bacteria that devoured human beings was claimed to be an epidemic, and in the next week 1000's of people went to their local G.P claiming to have contracted this disease.",NONE,NONE,NONE,NONE
These are two main factors in why some UK residents belive that eating beef may have adverse effects on them.,adverse,APPRECIATION,REACTION,NEG
They belive exactly what the media tells them.,They belive exactly what the media tells them,JUDGEMENT,CAPACITY,NEG
"Mad cow disease', which turns a cows' brain into a spongy semi-liquid, has been reported by the media, primarily tabloids, to be contagious to people who eat this meat.",NONE,NONE,NONE,NONE
"Documentaries, ITN & BBC news, and gossip have spread this claim throughout the UK frightening some people into not eating beef.",gossip have spread this claim throughout the UK frightening some people,JUDGEMENT,VERACITY,NEG
"This is the main reason for a sudden decline in beef eating, other contributry factors may include; increasing vegetarians & people on a low fat diet but these factors won't be any where near as significant.",won't be any where near as significant,APPRECIATION,WORTH,NEG
The agricultural industry will contain a substantial amount of cattle that should be slaughted for meat.,NONE,NONE,NONE,NONE
Any farmer that keeps a significant number of cattle is likely to strongly rely financially on the selling of beef.,is likely to strongly rely financially on the selling of beef,JUDGEMENT,CAPACITY,NONE
Because this swing in 'public taste' of beef was so sudden dairy farmer are likely to be stuck with cattle they cannot sell.,are likely to be stuck with cattle they cannot sel,JUDGEMENT,CAPACITY,NEG
If there is no demand for a product there is little point in producing it and so if there is less demand for beef there will be less farmers with cattle for slaughter.,NONE,NONE,NONE,NONE
"Although so far the industry claims the drop in meat consumption by the public is due to seasonal tastes and many farmer have sat the low prices out, there is no indication of a pick up in the market.",NONE,NONE,NONE,NONE
Eventually the decrease in cattle being produced for slaughter will feed back on an supplier of cattle materials such as feed (if not grass feed) or services such as slaughter houses.,NONE,NONE,NONE,NONE
Some subsidy system from the government may be established to encourage the farmers but this will only attack the symptoms not the cause,this will only attack the symptoms not the cause,JUDGEMENT,CAPACITY,NEG
the UK public willing to belive the worst.,willing to belive the worst,JUDGEMENT,TENACITY,NEG
The problem facing the Monarchy is how to adapt to modern life whilst still retaining a traditional role.,NONE,NONE,NONE,NONE
The pressures can be seen with the growing question of whether the Prince of Wales may rule as king when being a divorcee.,NONE,NONE,NONE,NONE
This brings up the issue of him being the Head of the Church of England and so the main problems lie in discussions about the future rather than the present.,NONE,NONE,NONE,NONE
Also their role in society is a matter of debate: are they there in order to just open hospitals and wave to people?,their role in society is a matter of debate,JUDGEMENT,CAPACITY,NEG
"This is the image often seen by the normal subject, discounting of course the scandals within the newspapers.",the scandals,APPRECIATION,REACTION,NEG
The pressures of growing media coverage and ever more efficient ways of hearing and seeing what is intended to be private questions the Monarchy's fitness to govern.,NONE,NONE,NONE,NONE
"The use of telephoto lenses has produced pictures casting shadows over their morality, such as the infamous activities of the Duchess of York.",casting shadows over their morality / infamous activities,JUDGEMENT,PROPRIETY,NEG
"The Monarchy's right to govern is also questionable since it is a non-elected body presiding over an apparent democracy, however limited this, in fact, is.",questionable,JUDGEMENT,PROPRIETY,NEG
An argument for retaining the Monarchy is the enormously useful role the Monarch plays.,enormously useful,APPRECIATION,WORTH,POS
The present Queen is an adviser on constitutional matters to the govenment and such advice is often useful.,often useful,APPRECIATION,WORTH,POS
"Also the experience obtained over many years of govening and advising govenment, since she sees the cabinet papers, is of benefit for the country.",experience is of benefit,APPRECIATION,WORTH,POS
"The role is necessary in deciding who is to make a govenment, this is especially true if there is a hung parliament and",necessary,APPRECIATION,WORTH,POS
the Queen will assess who can produce an effective government.,effective governament,JUDGEMENT,CAPACITY,POS
"Since all laws need the royal assent then the Queen acts as a safeguard against any truely damaging acts, such as if there was an attempt to form a dictatorship.",truely damaging acts,APPRECIATION,REACTION,NEG
"Since all laws need the royal assent then the Queen acts as a safeguard against any truely damaging acts, such as if there was an attempt to form a dictatorship.",dictatorship,JUDGEMENT,PROPRIETY,NEG
Also the activity in calling general elections is a right of the Monarchy and so provides a useful role in the administration of the country.,a useful role,APPRECIATION,WORTH,POS
"This may also prevent a prime minister from attempting to 'cash in' on short term popularity, such as if a war has just been won, as the Monarch can refuse to call such an election.",attempting to 'cash in' ,JUDGEMENT,PROPRIETY,NEG
If the Monarchy was abolished it leaves the question what is to replace it.,NONE,NONE,NONE,NONE
"There is a need for a Head of State for diplomatic purposes, therefore a President is needed.",needed,APPRECIATION,WORTH,POS
"Then there is the problem of how such a person is to be nominated and elected, it is likely a politician past their prime will be the candidate.",NONE,NONE,NONE,NONE
This results in contentions over impartiality.,impartiality,JUDGEMENT,VERACITY,NEG
Also many of British citizens are strong royalist supporters and so any govenment wishing to abolish the Monarchy will lose the popular support any govenment is ultimately dependent on.,lose the popular support,APPRECIATION,REACTION,NEG
The Monarchy produces a great deal of money for this country., produces a great deal of money for this country,JUDGEMENT,CAPACITY,POS
"The tourism is vital to a city such as London and produces a lot of revenue from countries with no such monarchy, the obvious example is the American fascination with royalty.",vital,APPRECIATION,WORTH,POS
"The tourism is vital to a city such as London and produces a lot of revenue from countries with no such monarchy, the obvious example is the American fascination with royalty.",fascination,JUDGEMENT,NORMALITY,POS
"Also the Monarch plays a useful and effective diplomatic role, of a symbol of growing friendship.",useful and effective diplomatic role,APPRECIATION,WORTH,POS
"Also the Monarch plays a useful and effective diplomatic role, of a symbol of growing friendship.",symbol of growing friendship,JUDGEMENT,PROPRIETY,POS
This can be seen by the Queen's recent tour of South Africa.,NONE,NONE,NONE,NONE
An argument against the Monarchy is that it is a non-elected body not suitable to a modern democracy.,not suitable,APPRECIATION,WORTH,NEG
It is strange that whilst other countries manage perfectly well without a monarch,manage perfectly well,JUDGEMENT,CAPACITY,POS
Britain refuses to lose its monarch.,refuses to lose its monarch,JUDGEMENT,CAPACITY,NEG
"Since all other forms of govement are elected, the exception being the House of Lords with an increasingly minor role in actually forming legislation",an increasingly minor role,APPRECIATION,WORTH,NEG
"it is not unreasonable that the ultimate symbol of Britishness, the monarch, should be elected as well.",not unreasonable,APPRECIATION,WORTH,POS
"it is not unreasonable that the ultimate symbol of Britishness, the monarch, should be elected as well.",the ultimate symbol of Britishness,APPRECIATION,WORTH,POS
"Also up until a few years ago the large civil list was drain of taxpayers money and the Queen, one of the richest women in the world, did not pay tax.","one of the richest women in the world, did not pay tax",JUDGEMENT,PROPRIETY,NEG
The recent changes have reduced the effect of this argument.,NONE,NONE,NONE,NONE
"Also, the Monarch retains many national treasures often paid for by previous taxpayers money which are not allowed to be seen by the public, or have to be paid for the right to see them.",NONE,NONE,NONE,NONE
Monarchy is simply a tradition and keeping an institution merely for the sake of tradition is not right and against all reason.,is simply a tradition,APPRECIATION,REACTION,NEG
Monarchy is simply a tradition and keeping an institution merely for the sake of tradition is not right and against all reason.,is not right and against all reason,JUDGEMENT,PROPRIETY,NEG
"For centuries the Monarch has been the head of the country, the head of the Church of England and the head of the Houses of Parliament.",NONE,NONE,NONE,NONE
"However, nowadays, politicians run the country, the Monarch is a source of ridicule for the Church of England and she is not even allowed to set foot in the House of Commons.",is a source of ridicule / is not even allowed to set foot,JUDGEMENT,CAPACITY,NEG
Is such a 'head' really necessary?,necessary,APPRECIATION,WORTH,NEG
Every year the Monarchy costs the British public millions of pounds.,costs millions of pounds,JUDGEMENT,CAPACITY,NEG
"This money contributes towards keeping the Monarchy in the style to which it has become accustomed to living in, maintaining numerous palaces around the country, several retreats abroad, and a fleet of cars (each with its own chauffeur no doubt) of reticulous proportions; not to mention several boats and private carriages on trains.",contributes / not to mention several boats and private carriages on trains,JUDGEMENT,PROPRIETY,NEG
"Plus, the indirect expenditure of round-the-clock bodyguards and constant policing.",the indirect expenditure,JUDGEMENT,PROPRIETY,NEG
"Admittedly, when divided by the number of people paying taxes in the country, this figure amounts to less than one pound each year per person.",NONE,NONE,NONE,NONE
"However, surely this money could be put to better purposes - reducing the national debt or towards scientific research - rather than merely increasing the already vast Royal fortune.",surely this money could be put to better purposes,JUDGEMENT,PROPRIETY,NEG
